hashed_id,rider_id,driver_id,fare,estimated_fare,ride_duration,estimated_ride_duration,ride_distance,estimated_ride_distance,status,rating,drivers_tried,undiscounted_fare,review_requested,discount,canceled_by,payment_type,status_rec,driver_assigned,canceled_by_type
94DED3,345582,7525931,48,96,1210,1320,6430,6430,COMPLETED,5,"7525931,",96,0,48,,1,1,1,0
94E46Q,1134986,6578656,36,73,684,677,3072,3072,COMPLETED,5,"6578656,",73,0,36,,1,1,1,0
94B7AI,374101,3659002,32,63,522,628,3669,3669,COMPLETED,5,"3659002,",63,0,32,,1,1,1,0
94B9E7,7809402,2944760,223,36,2692,297,14778,431,COMPLETED,1,"6710626,2944760,",247,0,25,,1,1,1,0
94CH6S,323875,2824824,47,134,1320,1219,3957,6978,COMPLETED,5,"5249719,7259811,2105384,7629364,3152471,4902429,1080228,2824824,",94,0,47,,1,1,1,0
94CKD9,89055,1344249,24,49,357,612,2036,2278,COMPLETED,5,"7460079,7479774,7824,7599057,7018033,1956847,628648,7307215,3022023,7064776,1344249,",49,0,24,,1,1,1,0
94EKPS,2732228,4102041,33,64,926,561,2836,2836,COMPLETED,3,"6661537,4102041,",67,0,33,,1,1,1,0
94EL97,1542069,1589662,42,81,1051,678,3656,3552,COMPLETED,5,"1589662,",85,0,42,,1,1,1,0
94CNNG,214078,2360851,53,105,497,881,6076,6076,COMPLETED,5,"1276848,2360851,",105,0,53,,1,1,1,0
94DL68,2708053,6319005,46,93,1132,1411,6046,6046,COMPLETED,5,"6319005,",93,0,46,,1,1,1,0
94DNKE,136009,7166316,39,77,770,634,3271,3271,COMPLETED,0,"5074392,7166316,",77,0,39,,1,1,1,0
94E51K,7393006,1099419,38,61,608,989,4966,3191,COMPLETED,5,"1099419,",76,0,38,,1,1,1,0
94E6CS,7277924,4606704,188,203,2355,1778,12668,12668,COMPLETED,5,"4606704,",208,0,21,,1,1,1,0
94EH1R,155117,946409,190,197,3248,1653,11676,11676,COMPLETED,0,"946409,",211,0,21,,1,1,1,0
94FO38,7811383,4341986,217,241,2588,2006,14458,14781,COMPLETED,0,"6755289,4341986,",241,0,24,,1,1,1,0
94C00R,7627495,1911200,44,88,1052,865,3914,4225,COMPLETED,5,"1911200,",88,0,44,,1,1,1,0
94C3TQ,168754,3287842,234,260,2048,2474,15766,15931,COMPLETED,0,"2043830,479053,3287842,",260,0,26,,1,1,1,0
94CSOT,7125614,5819361,41,79,1124,789,5111,5111,COMPLETED,5,"5819361,",81,0,41,,1,1,1,0
94DKI3,1402138,6489787,44,86,1216,917,5696,5696,COMPLETED,5,"6585225,6489787,",88,0,44,,1,1,1,0
94EKNP,6919954,6846247,211,221,3445,1946,13295,13295,COMPLETED,0,"6846247,",235,0,23,,1,1,1,0
94EQ5N,2650640,7298910,88,168,2384,1525,10115,9586,COMPLETED,3,"3379344,7298910,",176,0,88,,1,1,1,0
94F8RS,7039089,4619434,42,80,1067,703,3487,3487,COMPLETED,0,"3909055,4242698,4619434,",83,0,42,,1,1,1,0
94FSA7,2362377,1323868,38,76,1157,1045,4612,4612,COMPLETED,5,"4418176,7727525,218629,4559306,1323868,",76,0,38,,1,1,1,0
94G1LJ,1985929,6504549,44,88,1447,1127,5742,5742,COMPLETED,0,"6504549,",88,0,44,,1,1,1,0
94D1DG,4582499,1530871,32,63,568,758,2762,3591,COMPLETED,3,"3420843,6181739,3002793,1807420,786886,6506744,5233083,1530871,",63,0,32,,1,1,1,0
94B59A,463580,2950096,381,423,4365,4166,36487,36487,COMPLETED,4,"829392,283368,5361008,7558877,2950096,",423,0,42,,1,1,1,0
94E1AT,4569182,2291775,39,75,1383,825,4936,4649,COMPLETED,5,"2291775,",78,0,39,,1,1,1,0
94EMLE,804103,203603,238,255,4130,2674,20934,21040,COMPLETED,0,"3835223,203603,",265,0,26,,1,1,1,0
94B7M7,5236654,1057947,245,272,2997,3225,20937,22345,COMPLETED,5,"1360934,944720,1203404,534532,1057947,",272,0,27,,1,1,1,0
94BS5Q,335385,1919233,84,154,2466,1194,6804,6804,COMPLETED,0,"1919233,",168,0,84,,1,1,1,0
94C2QA,1315480,3887369,235,261,2540,2087,14751,14751,COMPLETED,5,"5461220,3887369,",261,0,26,,1,1,1,0
94D1OQ,7673243,5555010,34,69,1032,984,3953,3953,COMPLETED,5,"5555010,",69,0,34,,1,1,1,0
94F6I7,2315605,7220467,209,219,4486,2561,17565,17565,COMPLETED,0,"7220467,",232,0,23,,1,1,1,0
94G2DS,3617176,661427,39,78,963,1184,3588,3588,COMPLETED,0,"2268343,978980,3640241,7093928,1638760,661427,",78,0,39,,1,1,1,0
94CM0T,564857,6993652,48,92,1364,912,4933,4933,COMPLETED,0,"6993652,",96,0,48,,1,1,1,0
94D9H8,1664607,2636075,39,72,1582,773,4338,4433,COMPLETED,0,"2636075,",78,0,39,,1,1,1,0
94DALH,7123598,1603643,47,52,688,560,2608,2608,COMPLETED,0,"1603643,",52,0,5,,1,1,1,0
94F0FT,7801738,7558915,39,75,1041,639,3146,3146,COMPLETED,5,"461529,2224284,7558915,",79,0,39,,1,1,1,0
94F4J0,2251394,4785537,43,74,1878,636,3064,3064,COMPLETED,0,"4785537,",85,0,43,,1,1,1,0
94FGIP,435226,4249140,37,70,1087,648,2763,2763,COMPLETED,5,"2829756,6183213,9523,4758465,7228838,4249140,",74,0,37,,1,1,1,0
94D1PA,3957821,617251,45,90,841,1029,6013,6013,COMPLETED,5,"5303503,617251,",90,0,45,,2,1,1,0
94DH31,5715320,4518592,49,55,431,779,2735,2735,COMPLETED,0,"6484356,4518592,",55,0,5,,1,1,1,0
94G62M,175097,5901163,46,92,1129,1066,4849,4849,COMPLETED,5,"4784074,7369147,5697379,5901163,",92,0,46,,1,1,1,0
94C7T7,7770921,3276877,41,83,952,818,3620,3620,COMPLETED,5,"6207187,3276877,",83,0,41,,1,1,1,0
94D613,158371,5668383,48,96,1225,1019,6600,6600,COMPLETED,3,"5542462,7581518,5668383,",96,1,48,,1,1,1,0
94F3M1,3407,116154,214,237,1629,1730,13334,13334,COMPLETED,5,"116154,",237,0,24,,1,1,1,0
94FN5N,1094810,7543604,39,73,1039,593,3064,3064,COMPLETED,5,"7543604,",77,0,39,,1,1,1,0
94B4T1,358629,199777,36,73,744,982,4346,4346,COMPLETED,0,"7111302,3748810,3487240,199777,",73,0,36,,1,1,1,0
94CCSM,1919012,4552693,42,85,658,815,4405,4405,COMPLETED,5,"7196495,4552693,",85,0,42,,1,1,1,0
94CIPD,2335773,576460,239,266,2607,2620,17399,16983,COMPLETED,5,"576460,",266,0,27,,1,1,1,0
94DDIP,1789370,6001276,47,94,1286,1016,6658,6436,COMPLETED,0,"7114484,2267285,2844115,4320058,6001276,",94,0,47,,1,1,1,0
94F1SC,3050936,7418440,201,190,5013,1639,9655,9941,COMPLETED,0,"2245309,7071007,2107796,52781,7418440,",223,0,22,,1,1,1,0
94BJ2B,534314,4758556,196,217,1756,1965,11959,11653,COMPLETED,0,"4758556,",217,0,22,,1,1,1,0
94BNB0,11494,2669096,27,54,375,536,1380,1704,COMPLETED,5,"2669096,",54,0,27,,1,1,1,0
94CF4H,1841584,967815,208,212,1906,1922,15810,14241,COMPLETED,0,"384098,4245756,967815,",231,0,23,,1,1,1,0
